,silhouette_score
102902673,-0.6304175574929693
102920,-0.7659083454608435
102941,
102954,-0.8284628136962534
102991,-0.7107436595702296
103080,-0.7667940779326109
103098,-0.7901149137194021
103135,-0.7267527334514469
103136,-0.6929820747851283
103140,-0.8506481965053103
103142,-0.8058217968987526
103149,-0.8367051828320679
103161,-0.8699286464123017
103172,-0.6445631218689175
103199,-0.7667886730753601
103213,-0.7733190512399369
103220,-0.719340555153145
103236,-0.8006519255250504
103266,-0.8101454910476839
103268,-0.7522608006164391
103284,-0.8800582422827055
103406,-0.8584096971153505
103425,-0.6166008499341602
103466,-0.7955180107864508
103468,-0.6937198423408358
103511,-0.8937167657275408
103534,-0.8653208603933534
103537,-0.5968763921910508
103551,-0.913202853442634
103554,-0.5751713316737103
103573,-0.6306045874877811
103583,-0.5843662305220703
103655,-0.8898350413518841
103677,-0.5843028473712043
103694,-0.6701783825585461
103710,-0.845178017073563
103711,-0.7189354602774994
103712,-0.8922706442928657
103724,-0.7719033673855136
103733,-0.6657443712158819
103737,-0.7408207206578075
103742,-0.6064394338074726
103743,-0.8411790051563866
103765,-0.8434272159188878
103768,-0.738252981899528
103775,-0.851143209427691
103784,-0.6466898564340775
103806,-0.6816485864701383
103836,-0.6583777970039776
103841,-0.8276746555296051
103844,-0.829918164693994
103850,-0.7050074805487281
103889,-0.9058019570177072
103963,-0.57407423443174
103964,-0.7623750566038571
103967,-0.6681319253301791
103968,-0.8785884098990849
103978,-0.6935351260554398
103988,-0.7882950299391422
104001,-0.5560326075067932
104002,-0.8901570511872475
104009,-0.512739859103304
104010,-0.8300453960175465
104015,-0.5565408692265611
104027,-0.8359971600965383
104069,-0.5531282960621194
104079,-0.8476036725086169
104080,-0.9000642098640791
104082,-0.6081045491033318
104086,-0.8721264708701771
104099,-0.5913245255366368
104110,-0.916652332288389
104111,-0.6477330526956978
104112,-0.7045838996527264
104130,-0.5735179169445611
104156,-0.7236143592982365
104158,-0.8593902963166207
104174,-0.7606065098463681
104175,-0.890535252807836
104183,-0.882939719861726
104184,-0.5770029228426736
104215,-0.6477775898122633
104245,
104248,-0.5560229782491328
104252,-0.9086102580055244
104263,-0.6176521306604242
104271,-0.8698573942721181
104303,-0.6276890231263904
104318,-0.6159305320413426
104346,-0.7233042204851223
104348,-0.8438381414234362
104349,-0.7446053585317687
104360,-0.8403445230392488
104362,-0.910142889091488
104382,-0.764123303661787
104383,-0.8014108158644607
104384,-0.1986097535572825
104394,-0.6144470419331807
104401,-0.6416878120700568
104416,-0.6718203825907548
104418,-0.5282082042014753
104443,-0.846968617505307
104444,-0.5370024507071001
104445,-0.8280595232505547
104457,-0.5433987601129139
104458,-0.6145226673700758
104479,-0.7043930393473947
104570,-0.5460639341519355
104582,-0.8061500547243676
104601,-0.9305797991092092
104625,-0.5762835977719999
104662,-0.5920583320300599
104681,-0.7814852418836841
104709,-0.8619797753916908
104718,-0.5233828324829064
104721,-0.642225241391294
104725,-0.5978068957955626
104732,-0.897305530996922
104759,-0.9016747571370064
104771,-0.6509262005754916
104776,-0.7657106888250109
104799,-0.5478961697337482
104806,-0.803128193613227
104816,-0.9105847580419676
104831,-0.5328279759714151
104836,-0.6403135226379952
104859,-0.5632075423958018
104871,-0.7631147183951374
104884,-0.6649576439616731
104885,-0.7905458841740173
104886,-0.7691432767834142
104910,-0.9216926389391172
104923,-0.6368939103262912
104943,-0.3356069460512434
105000,-0.8116120559799237
105005,-0.8811439767499772
105014,-0.716039240002592
105083,-0.9013752885606536
105148,-0.6757486024001855
105171,-0.7788176359254095
105180375,-0.7875907659854029
105193,-0.8999402668460512
105203,-0.6007645789354661
105239,-0.8103274622601919
105242399,-0.8896660970969161
105243,-0.9065613279742194
105243089,-0.7901332573942897
105243090,-0.6257013269570841
105245,-0.7086135611304286
105246,-0.5681462650054191
105278,-0.8198581826467249
105298,-0.7843920863099558
105348,-0.8619165457461098
105349,-0.8943759976603485
105351,-0.7250740148992914
105352,-0.7660396478288498
105355,-0.8894062138691905
105372,-0.7659610111278841
105377,-0.6351770928150285
105387,-0.810007043568921
105418,-0.7944936722194286
105428,-0.7232643674846336
105439,-0.8091466399771673
105440,-0.8792559966697397
105445,-0.6389302570121924
105446,-0.662775605937063
105450,-0.7153248399636161
105501,-0.7112059427093473
105504,-0.5964206205885617
105511,-0.2642750489400987
105513,-0.7008080482545201
105518,-0.893146473808777
105522,-0.671401163662659
105559,-0.6538524766772065
105590,-0.8882988208176941
105594,-0.8353937689985195
105638,-0.6196698748963004
105651,-0.9406674433338436
105653,-0.7579841717690229
105663,-0.8508173820757057
105670,-0.7862225081740911
105675,-0.7969531998022419
105689,-0.5428748709685318
105704528,-0.8403797982435793
105722,-0.6336746925051226
105727,-0.7031985969759976
105732,-0.9091559271981234
105734,-0.7964954909369246
105734727,-0.6502652556873397
105734733,-0.9255347107659736
105782,-0.5287183882851135
105785,-0.5883517328776555
105787,-0.7922741069414092
105827,-0.905707419301922
105833,-0.8038944947067596
105835,-0.6942186549314222
105837,-0.7127272453903646
105841,-0.8534171175640605
105844,-0.9106880153385464
105847,-0.6578598294909002
105853,-0.7877732810343148
105855,-0.8407778371852667
105859,-0.8492595942240605
105866,-0.85860302624012
105886298,-0.846459006031879
105887,-0.8382982791143737
105892,-0.3114303909193306
105940408,-0.5930775299855923
105980076,-0.8914238867639851
105988,-0.7592490290663146
106014,-0.7748876117011289
106021,-0.5708892263567744
106025,-0.6096914869352835
106029237,-0.4352366075016278
106039,-0.7956781326614264
106042,-0.7572695411161514
106052,-0.8237647797739981
106064,-0.7785737258817903
106068,-0.8083308730604658
106073,-0.7407425752029478
106143,-0.8039248346283772
106200,-0.5898895988327643
106205,-0.628362172037232
106248,-0.8266949505651434
106298,-0.6267532115951306
106326,-0.6510912713480739
106338,-0.8119443874105011
106344,-0.4935768881143799
106347,-0.8796159457943487
106369,-0.6812060897612797
106389,-0.7487152271653403
106393,-0.832111417233887
106407,-0.6736180715224517
106489,-0.7360922975074572
106504,-0.6170336555120707
106512,-0.9075587044761316
106522,-0.937673801803324
106529,-0.5477463921536181
106557,-0.7447203752253346
106564,-0.8694927987188769
106565,-0.8244469667868033
106572,-0.6961058506706947
106581,-0.7715665016106282
106582,-0.857878514834944
106583,-0.6640892525721073
106585,-0.6026884542511759
106618,-0.8403647271638114
106628,-0.8557927980211273
106633,-0.7679654205585191
106639,-0.6487033750000644
106648,-0.8332919337926078
106672,-0.6778743860024922
106707,-0.7833442644649604
106722,-0.9273178545795224
106757,-0.639644433947191
106759,-0.7946179937769775
106763,-0.7849809258161471
106766,-0.7726069214938639
106794,-0.5744999500171
106795,-0.91172259104804
106821,-0.7694082740248124
106840,-0.7760122982142673
106861,-0.767037839596435
106869,-0.6736600760460103
106877,-0.8188556469212016
106878,-0.8999149862385267
106894,-0.7366997584979883
106931,-0.6684686511070699
106947,-0.8722145940362621
106952,-0.8946762020277814
